Date,Shift,Name,Far,Local,Stay,Bad,Absent
2023-02-19,3,Cart 15,0.000000,0.000000,0.999896,0.000000,0.000104
2023-02-19,3,Cart 16,0.000000,0.002465,0.997431,0.000000,0.000104
2023-02-19,3,Forklift 17,0.000000,0.002465,0.997431,0.000000,0.000104
2023-02-20,1,Forklift 01,0.008889,0.005035,0.802049,0.000000,0.184028
2023-02-20,1,Pallet truck 02,0.043403,0.199583,0.756493,0.000417,0.000104
2023-02-20,1,Pallet truck 03,0.000000,0.000799,0.816528,0.000000,0.182674
2023-02-20,1,Cart 04,0.035278,0.026840,0.738958,0.000347,0.198576
2023-02-20,1,Cart 05,0.000000,0.002326,0.596250,0.237569,0.163854
2023-02-20,1,Forklift 06,0.000000,0.000000,0.999896,0.000000,0.000104
2023-02-20,1,Pallet truck 07,0.000000,0.007188,0.987326,0.000000,0.005486
2023-02-20,1,Pallet truck 08,0.013264,0.014514,0.966146,0.000000,0.006076
2023-02-20,1,Cart 09,0.000000,0.001667,0.987708,0.000000,0.010625
2023-02-20,1,Cart 10,0.000000,0.000000,0.829097,0.000000,0.170903
2023-02-20,1,Pallet truck 11,0.016667,0.021354,0.804757,0.000000,0.157222
2023-02-20,1,Cart 12,0.000000,0.000000,0.898472,0.000000,0.101528
2023-02-20,1,Cart 13,0.000000,0.000000,0.999896,0.000000,0.000104
2023-02-20,1,Pallet truck 14,0.000000,0.001389,0.721736,0.000000,0.276875
2023-02-20,1,Cart 15,0.008125,0.000000,0.708160,0.000000,0.283715
2023-02-20,1,Cart 16,0.007882,0.023403,0.968611,0.000000,0.000104
2023-02-20,1,Forklift 17,0.116736,0.019479,0.863681,0.000000,0.000104
2023-02-20,2,Forklift 01,0.032431,0.003924,0.963542,0.000000,0.000104
