Date,Shift,Name,T1,T2,Dt,From,To,Way,Std,S,V
23-03-08,1,Forklift 01,13:05:34,13:07:27,113,clearing_bldg,sheet_metal,1,43.280735,196.822854,1.741795
23-03-08,1,Forklift 01,13:07:55,13:09:51,116,sheet_metal,clearing_bldg,1,55.280047,228.353792,1.968567
23-03-08,1,Pallet truck 02,07:59:08,08:05:47,399,clearing_bldg,trunion_cell,1,62.986390,391.835672,0.982044
23-03-08,1,Pallet truck 02,08:06:58,08:09:01,123,trunion_cell,cell_16,1,34.689079,182.363577,1.482631
23-03-08,1,Pallet truck 02,08:35:12,08:40:55,343,clearing_bldg,sheet_metal,1,62.138932,292.372003,0.852397
23-03-08,1,Pallet truck 02,08:41:45,08:45:16,211,sheet_metal,clearing_bldg,1,46.762395,219.913243,1.042243
23-03-08,1,Pallet truck 02,09:09:26,09:12:41,195,clearing_bldg,sheet_metal,1,46.580824,190.619510,0.977536
23-03-08,1,Pallet truck 02,09:13:04,09:15:54,170,sheet_metal,clearing_bldg,1,50.728714,211.852980,1.246194
23-03-08,1,Cart 04,07:33:03,07:36:10,187,clearing_bldg,laser,2,35.086293,255.232859,1.364882
23-03-08,1,Cart 04,08:11:00,08:13:23,143,clearing_bldg,machine_shop,1,50.064713,192.897353,1.348933
23-03-08,1,Cart 04,08:17:11,08:19:00,109,nozzle_cell,clearing_bldg,1,40.042711,171.843406,1.576545
23-03-08,1,Cart 04,10:18:15,10:22:46,271,clearing_bldg,machine_shop,1,50.571894,399.731150,1.475023
23-03-08,1,Cart 04,10:28:36,10:31:00,144,machine_shop,clearing_bldg,1,47.740476,216.744951,1.505173
23-03-08,1,Cart 04,11:28:29,11:30:23,114,clearing_bldg,bldg_2_entry_area,1,35.326378,129.501542,1.135978
23-03-08,1,Cart 04,11:30:57,11:36:02,305,bldg_2_entry_area,clearing_bldg,1,43.542910,496.393495,1.627520
23-03-08,1,Cart 04,14:09:12,14:13:36,264,clearing_bldg,nozzle_cell,2,45.968464,360.590380,1.365873
23-03-08,1,Cart 05,08:05:07,08:06:53,106,clearing_bldg,press_room,1,15.901772,123.923148,1.169086
23-03-08,1,Cart 05,12:44:48,12:48:05,197,clearing_bldg,bldg_2_entry_area,1,45.867026,234.991267,1.192849
23-03-08,1,Cart 05,12:52:50,12:54:48,118,nozzle_cell,cell_16,1,33.455287,143.861747,1.219167
23-03-08,1,Forklift 06,10:59:18,11:03:37,259,sheet_metal,tool_storage,2,59.792220,394.068086,1.521498
23-03-08,1,Forklift 06,13:08:53,13:15:01,368,unknown,sheet_metal,1,35.972464,557.538842,1.515051
23-03-08,1,Forklift 06,14:21:28,14:24:50,202,trunion_cell,unknown,1,36.110757,262.909133,1.301530
23-03-08,1,Forklift 06,14:30:01,14:32:51,170,unknown,sheet_metal,1,33.438633,256.304695,1.507675
23-03-08,1,Cart 09,12:00:09,12:01:27,78,sheet_metal,bldg_2_entry_area,1,15.501667,75.285186,0.965195
23-03-08,1,Cart 12,09:37:12,09:41:13,241,laser,shear_rolled_vane_cell,1,50.253680,229.671467,0.952994
23-03-08,1,Cart 12,09:42:12,09:47:24,312,shear_rolled_vane_cell,unknown,1,30.942097,333.393302,1.068568
23-03-08,1,Cart 12,09:49:34,09:50:40,66,bldg_2_entry_area,unknown,1,22.263888,91.799983,1.390909
23-03-08,1,Cart 12,09:58:06,09:59:38,92,unknown,bldg_2_entry_area,1,26.828058,100.260663,1.089790
23-03-08,1,Cart 12,10:00:02,10:05:49,347,bldg_2_entry_area,tool_storage,2,34.354406,274.809503,0.791958
23-03-08,1,Cart 15,09:08:18,09:10:54,156,cell_16,sheet_metal,1,38.282364,227.366895,1.457480
23-03-08,1,Cart 15,09:11:57,09:14:28,151,laser,cell_16,1,40.797694,222.632636,1.474388
23-03-08,1,Cart 15,12:26:46,12:31:22,276,cell_16,sheet_metal,1,33.838298,261.093055,0.945989
23-03-08,1,Cart 15,12:43:09,12:45:01,112,unknown,cell_16,1,31.779752,182.209824,1.626873
23-03-08,1,Cart 15,13:50:51,13:53:11,140,cell_16,tool_storage,2,15.108339,149.589061,1.068493
23-03-08,1,Forklift 17,11:59:51,12:04:17,266,clearing_bldg,tool_storage,1,51.058001,411.002854,1.545124
23-03-08,1,Forklift 17,13:46:07,13:50:44,277,shear_rolled_vane_cell,trunion_cell,1,69.058655,375.813136,1.356726
23-03-08,1,Forklift 17,13:55:14,13:58:52,218,trunion_cell,press_room,1,55.432941,371.813725,1.705568
